codigo_truper,pagina_catalogo,clave_ground_truth,descripcion_ground_truth,marca_ground_truth,anterior_clave,anterior_clave_exacta,anterior_descripcion,anterior_descripcion_exacta,anterior_descripcion_normalizada,anterior_descripcion_similitud,anterior_descripcion_similar,anterior_marca,anterior_precio_publico,anterior_confianza,anterior_clave_confianza,anterior_revision,nuevo_clave,nuevo_clave_exacta,nuevo_descripcion,nuevo_descripcion_exacta,nuevo_descripcion_normalizada,nuevo_descripcion_similitud,nuevo_descripcion_similar,nuevo_marca,nuevo_precio_publico,nuevo_confianza,nuevo_clave_confianza,nuevo_revision
20219,141,JD-8BP,"Juego de 8 desarmadores mango Comfort Grip, PRETUL",PRETUL,J-8BP,false,Juego de 8 desarmadores mango Comfort Grip,false,true,1.0000,true,,227,alta,ALTA,false,JD-8BP,true,Juego de 8 desarmadores mango Comfort Grip,false,true,1.0000,true,,227,alta,ALTA,false
20654,297,CHAP-14P,"Charola para rodillo 9"", PRETUL",PRETUL,CHAP-14P,true,,false,false,0.0000,false,,36,media,ALTA,true,CHAP-14P,true,,false,false,0.0000,false,,36,media,ALTA,true
21150,132,M-1252P,"Matraca cuadro 1/2"" cabeza redonda, PRETUL",PRETUL,-1252P,false,"Matracas cabeza redonda, c (23 cm) 36",false,false,0.6567,true,,152,baja,BAJA,true,M-1252P,true,"Matracas cabeza redonda, c (23 cm) 36",false,false,0.6567,true,,152,alta,ALTA,false
21160,132,M-3852P,"Matraca cuadro 3/8"" cabeza redonda, PRETUL",PRETUL,-3852P,false,"Matracas cabeza redonda, a i|t (19 cm) 48",false,false,0.6197,true,,105,baja,BAJA,true,M-3852P,true,"Matracas cabeza redonda, a i|t (19 cm) 48",false,false,0.6197,true,,105,alta,ALTA,false
25077,394,PA-APCO-B,"Placa armada contacto e interruptor sencillo, VOLTECK BASIC",VOLTECK BASIC,PA-APCO-B,true,"Placas con interruptores sencillos y contactos 2 polos + tierra, Blanco",false,false,0.6190,true,,53,alta,ALTA,false,PA-APCO-B,true,"Placas con interruptores sencillos y contactos 2 polos + tierra, Blanco",false,false,0.6190,true,,52,alta,ALTA,false
25078,394,PA-APSE-B,"Placa armada con 1 interruptor sencillo, VOLTECK BASIC",VOLTECK BASIC,PA-APSE-B,true,"Placas con 1 interruptor, Blanco",false,false,0.6429,true,,33,alta,ALTA,false,PA-APSE-B,true,"Placas con 1 interruptor, Blanco",false,false,0.6429,true,,33,alta,ALTA,false
25080,394,PA-APDO-B,"Placa armada con 2 interruptores sencillos, VOLTECK BASIC",VOLTECK BASIC,PA-APDO-B,true,"Placas con 2 interruptores, Blanco",false,false,0.6517,true,,51,alta,ALTA,false,PA-APDO-B,true,"Placas con 2 interruptores, Blanco",false,false,0.6517,true,,51,alta,ALTA,false
25082,394,PA-COTR-B,"Placa armada con 3 contactos, VOLTECK BASIC",VOLTECK BASIC,PA-COTR-B,true,"Placas con contactos 2 polos + tierra, Blanco",false,false,0.6667,true,,75,alta,ALTA,false,PA-COTR-B,true,"Placas con contactos 2 polos + tierra, Blanco",false,false,0.6667,true,,75,alta,ALTA,false
25083,394,PA-APTR-B,"Placa armada con 3 interruptores sencillos, VOLTECK BASIC",VOLTECK BASIC,PA-APTR-B,true,"Placas con 3 interruptores, Blanco",false,false,0.6517,true,,66,alta,ALTA,false,PA-APTR-B,true,"Placas con 3 interruptores, Blanco",false,false,0.6517,true,,66,alta,ALTA,false
25084,394,PA-APSE-EB,"Placa armada con 1 interruptor de 3 vías, VOLTECK BASIC",VOLTECK BASIC,PA-APSE-EB,true,"Placas con 1 interruptor, Blanco",false,false,0.6353,true,,38,alta,ALTA,false,PA-APSE-EB,true,"Placas con 1 interruptor, Blanco",false,false,0.6353,true,,38,alta,ALTA,false
26030,191,CF-1/2P,"Conector 1/2"" hembra de latón laminado, PRETUL",PRETUL,C-12P,false,"Conectores de latón laminado, 1⁄2""",false,false,0.7826,true,,46,alta,ALTA,false,CF-12P,false,"Conectores de latón laminado, 1⁄2""",false,false,0.7826,true,,46,alta,ALTA,false
27107,394,COA-B,"Contacto 2 polos + tierra, VOLTECK BASIC",VOLTECK BASIC,COA-B,true,"Contactos sencillos 2 polos + tierra e interruptores, Blanco",false,false,0.6383,true,,,media,ALTA,true,COA-B,true,"Contactos sencillos 2 polos + tierra e interruptores, Blanco",false,false,0.6383,true,,19,alta,ALTA,false
27108,394,APSE-B,"Interruptor sencillo, VOLTECK BASIC",VOLTECK BASIC,APSE-B,true,"Contactos sencillos 2 polos + tierra e interruptores, Blanco",false,false,0.3516,false,,16,alta,ALTA,false,APSE-B,true,"Contactos sencillos 2 polos + tierra e interruptores, Blanco",false,false,0.3516,false,,16,alta,ALTA,false
27188,100,R35-COMP-40LP,Carcasa plástica para compresores PRETUL,PRETUL,R35-COMP-40LP,true,,false,false,0.0000,false,,390,media,ALTA,true,R35-COMP-40LP,true,,false,false,0.0000,false,,390,media,ALTA,true
40131,524,ATIN-002,"Tapa de 18"" con arillo para tinaco, FOSET",FOSET,A%-002,false,,false,false,0.0000,false,,315,baja,BAJA,true,ATIN-002,true,"Tapa con arillo para tinaco, 18""",false,false,0.8571,true,,315,alta,ALTA,false
41030,549,EESQ-1,"Bolsa con 24 escuadras esquineras 1"" x 1"", FIERO",FIERO,EESQ-1,true,"esquineras , Escuadras planas cantoneras por bolsa con 24 piezas precio por bolsa con 24 piezas, 1"" (25 mm) m|z"" (16 mm)",false,false,0.3333,false,,40,alta,ALTA,false,EESQ-1,true,"esquineras , Escuadras planas cantoneras por bolsa con 24 piezas precio por bolsa con 24 piezas, 1"" (25 mm) m|z"" (16 mm)",false,false,0.3333,false,,40,alta,ALTA,false
41032,549,EESQ-2,"Bolsa con 24 escuadras esquineras 2"" x 2"", FIERO",FIERO,EESQ-2,true,"esquineras , Escuadras planas cantoneras por bolsa con 24 piezas precio por bolsa con 24 piezas, 2"" (50 mm) m|z"" (16 mm)",false,false,0.3200,false,,83,alta,ALTA,false,EESQ-2,true,"esquineras , Escuadras planas cantoneras por bolsa con 24 piezas precio por bolsa con 24 piezas, 2"" (50 mm) m|z"" (16 mm)",false,false,0.3200,false,,83,alta,ALTA,false
41034,549,EESQ-3,"Bolsa con 24 escuadras esquineras 3"" x 3"", FIERO",FIERO,EESQ-3,true,"esquineras , Escuadras planas cantoneras por bolsa con 24 piezas precio por bolsa con 24 piezas, 3"" (75 mm) m|z"" (16 mm)",false,false,0.3200,false,,152,alta,ALTA,false,EESQ-3,true,"esquineras , Escuadras planas cantoneras por bolsa con 24 piezas precio por bolsa con 24 piezas, 3"" (75 mm) m|z"" (16 mm)",false,false,0.3200,false,,152,alta,ALTA,false
41036,549,EESQ-4,"Bolsa con 24 escuadras esquineras 4"" x 4"", FIERO",FIERO,EESQ-4,true,"esquineras , Escuadras planas cantoneras por bolsa con 24 piezas precio por bolsa con 24 piezas, 4"" (100 mm) k|v"" (19 mm)",false,false,0.3179,false,,249,alta,ALTA,false,EESQ-4,true,"esquineras , Escuadras planas cantoneras por bolsa con 24 piezas precio por bolsa con 24 piezas, 4"" (100 mm) k|v"" (19 mm)",false,false,0.3179,false,,249,alta,ALTA,false
41039,549,ECAN-2,"Bolsa c/24 escuadras planas cantoneras 2"" x 2"", FIERO",FIERO,ECAN-2,true,"planas cantoneras por bolsa con 24 piezas, 2"" (50 mm) i|t"" (13 mm)",false,false,0.4078,false,,79,alta,ALTA,false,ECAN-2,true,"planas cantoneras por bolsa con 24 piezas, 2"" (50 mm) i|t"" (13 mm)",false,false,0.4078,false,,79,alta,ALTA,false
41041,549,ECAN-3,"Bolsa c/24 escuadras planas cantoneras 3"" x 3"", FIERO",FIERO,ECAN-3,true,"planas cantoneras por bolsa con 24 piezas, 3"" (75 mm) m|z"" (16 mm)",false,false,0.4078,false,,118,alta,ALTA,false,ECAN-3,true,"planas cantoneras por bolsa con 24 piezas, 3"" (75 mm) m|z"" (16 mm)",false,false,0.4078,false,,118,alta,ALTA,false
41043,549,ECAN-4,"Bolsa c/24 escuadras planas cantoneras 4"" x 4"", FIERO",FIERO,ECAN-4,true,"planas cantoneras por bolsa con 24 piezas, 4"" (100 mm) m|z"" (16 mm)",false,false,0.4231,false,,200,alta,ALTA,false,ECAN-4,true,"planas cantoneras por bolsa con 24 piezas, 4"" (100 mm) m|z"" (16 mm)",false,false,0.4231,false,,200,alta,ALTA,false
43370,598,LLCANGA-M,"Llave magnética para candado CANGA-100, HERMEX",HERMEX,LLCANGA-M,true,Llave magnética para candado CANGA-100,false,true,1.0000,true,,295,alta,ALTA,false,LLCANGA-M,true,Llave magnética para candado CANGA-100,false,true,1.0000,true,,295,alta,ALTA,false
43500,573,CB-35,"Cerradura de barra libre con 2 llaves estándar, HERMEX",HERMEX,CB-35,true,,false,false,0.0000,false,,575,media,ALTA,true,CB-35,true,,false,false,0.0000,false,,575,media,ALTA,true
43505,573,CB-40D,"Cerradura de barra fija, derecha, HERMEX",HERMEX,CB-40D,true,,false,false,0.0000,false,,255,media,ALTA,true,CB-40D,true,,false,false,0.0000,false,,255,media,ALTA,true
43507,573,CB-40I,"Cerradura de barra fija, izquierda, HERMEX",HERMEX,CB-40I,true,,false,false,0.0000,false,,255,media,ALTA,true,CB-40I,true,,false,false,0.0000,false,,255,media,ALTA,true
43516,573,CB-45D,"Cerradura de barra libre, derecha, HERMEX",HERMEX,CB-45D,true,,false,false,0.0000,false,,255,media,ALTA,true,CB-45D,true,,false,false,0.0000,false,,255,media,ALTA,true
43518,573,CB-45I,"Cerradura de barra libre, izquierda, HERMEX",HERMEX,CB-45I,true,,false,false,0.0000,false,,255,media,ALTA,true,CB-45I,true,,false,false,0.0000,false,,255,media,ALTA,true
43715,565,BP-G,"Broche perico galvanizado, HERMEX",HERMEX,BP-G,true,Broche perico,false,false,0.6842,true,,5.50,alta,ALTA,false,BP-G,true,Broche perico,false,false,0.6842,true,,5.50,alta,ALTA,false
44000,549,ME-5B,"Ménsula de acero blanca 4 x 5"", FIERO",FIERO,ME-5B,true,"Ménsulas de acero, 0.8 mm , precio por pieza, _""4"" 30 kg",false,false,0.5897,false,,9.50,alta,ALTA,false,ME-5B,true,"Ménsulas de acero, 0.8 mm , precio por pieza, 5""×4"" 30 kg",false,false,0.5750,false,,9.50,alta,ALTA,false
44001,549,ME-5G,"Ménsula de acero gris 4 x 5"", FIERO",FIERO,ME-5G,true,"Ménsulas de acero, 0.8 mm , precio por pieza, _""4"" 30 kg",false,false,0.6053,true,,9.50,alta,ALTA,false,ME-5G,true,"Ménsulas de acero, 0.8 mm , precio por pieza, 5""×4"" 30 kg",false,false,0.5897,false,,9.50,alta,ALTA,false
44003,549,ME-6B,"Ménsula de acero blanca 5 x 6"", FIERO",FIERO,ME-6B,true,"Ménsulas de acero, 0.8 mm , precio por pieza, `""_"" 30 kg",false,false,0.5526,false,,11,alta,ALTA,false,ME-6B,true,"Ménsulas de acero, 0.8 mm , precio por pieza, 6""×5"" 30 kg",false,false,0.5750,false,,11,alta,ALTA,false
44004,549,ME-6G,"Ménsula de acero gris 5 x 6"", FIERO",FIERO,ME-6G,true,"Ménsulas de acero, 0.8 mm , precio por pieza, `""_"" 30 kg",false,false,0.5405,false,,11,alta,ALTA,false,ME-6G,true,"Ménsulas de acero, 0.8 mm , precio por pieza, 6""×5"" 30 kg",false,false,0.5897,false,,11,alta,ALTA,false
44006,549,ME-8B,"Ménsula de acero blanca 6 x 8"", FIERO",FIERO,ME-8B,true,"Ménsulas de acero, 0.8 mm , precio por pieza, b""`"" 30 kg",false,false,0.4872,false,,16,alta,ALTA,false,ME-8B,true,"Ménsulas de acero, 0.8 mm , precio por pieza, 8""×6"" 30 kg",false,false,0.5750,false,,16,alta,ALTA,false
44007,549,ME-8G,"Ménsula de acero gris 6 x 8"", FIERO",FIERO,ME-8G,true,"Ménsulas de acero, 0.8 mm , precio por pieza, b""`"" 30 kg",false,false,0.5000,false,,16,alta,ALTA,false,ME-8G,true,"Ménsulas de acero, 0.8 mm , precio por pieza, 8""×6"" 30 kg",false,false,0.5897,false,,16,alta,ALTA,false
44009,549,ME-10B,"Ménsula de acero blanca 8 x 10"", FIERO",FIERO,ME-10B,true,"Ménsulas de acero, 1 mm , precio por pieza, 10""b"" 40 kg",false,false,0.5500,false,,22,alta,ALTA,false,ME-10B,true,"Ménsulas de acero, 1 mm , precio por pieza, 10""×8"" 40 kg",false,false,0.5500,false,,22,alta,ALTA,false
44010,549,ME-10G,"Ménsula de acero gris 8 x 10"", FIERO",FIERO,ME-10G,true,"Ménsulas de acero, 1 mm , precio por pieza, 10""b"" 40 kg",false,false,0.5641,false,,22,alta,ALTA,false,ME-10G,true,"Ménsulas de acero, 1 mm , precio por pieza, 10""×8"" 40 kg",false,false,0.5641,false,,22,alta,ALTA,false
44012,549,ME-12B,"Ménsula de acero blanca 10 x 12"", FIERO",FIERO,ME-12B,true,"Ménsulas de acero, 1 mm , precio por pieza, 12""10"" 50 kg",false,false,0.5854,false,,26,alta,ALTA,false,ME-12B,true,"Ménsulas de acero, 1 mm , precio por pieza, 12""×10"" 50 kg",false,false,0.5854,false,,26,alta,ALTA,false
44013,549,ME-12G,"Ménsula de acero gris 10 x 12"", FIERO",FIERO,ME-12G,true,"Ménsulas de acero, 1 mm , precio por pieza, 12""10"" 50 kg",false,false,0.6000,true,,26,alta,ALTA,false,ME-12G,true,"Ménsulas de acero, 1 mm , precio por pieza, 12""×10"" 50 kg",false,false,0.6000,true,,26,alta,ALTA,false
44014,549,ME-14B,"Ménsula de acero blanca 12 x 14"", FIERO",FIERO,ME-14B,true,"Ménsulas de acero, 1 mm , precio por pieza, 14""12"" 50 kg",false,false,0.5854,false,,35,alta,ALTA,false,ME-14B,true,"Ménsulas de acero, 1 mm , precio por pieza, 14""×12"" 50 kg",false,false,0.5854,false,,35,alta,ALTA,false
44015,549,ME-14G,"Ménsula de acero gris 12 x 14"", FIERO",FIERO,ME-14G,true,"Ménsulas de acero, 1 mm , precio por pieza, 14""12"" 50 kg",false,false,0.6000,true,,35,alta,ALTA,false,ME-14G,true,"Ménsulas de acero, 1 mm , precio por pieza, 14""×12"" 50 kg",false,false,0.6000,true,,35,alta,ALTA,false
44370,557,AR-17C,"Bolsa con 144 armellas cerradas de 17 x 40, FIERO",FIERO,A#-17C,false,"Armellas cerradas », [a ^Y 2 mm 7 mm 22 mm [^^",false,false,0.5570,false,,35,baja,BAJA,true,AR-17C,true,"Armellas cerradas », 17 × 40 2 mm 7 mm 22 mm 144",false,false,0.5412,false,,35,alta,ALTA,false
44371,557,AR-18C,"Bolsa con 144 armellas cerradas de 18 x 50, FIERO",FIERO,AR-18C,true,"Armellas cerradas », [b _Y 3 mm 9 mm 32 mm [^^",false,false,0.5316,false,,72,alta,ALTA,false,AR-18C,true,"Armellas cerradas », 18 × 50 3 mm 9 mm 32 mm 144",false,false,0.5412,false,,72,alta,ALTA,false
44372,557,AR-19C,"Bolsa con 144 armellas cerradas de 19 x 60, FIERO",FIERO,AR-19C,true,"Armellas cerradas », [c `Y 3 mm 11 mm 38 mm [^^",false,false,0.5500,false,,95,alta,ALTA,false,AR-19C,true,"Armellas cerradas », 19 × 60 3 mm 11 mm 38 mm 144",false,false,0.5349,false,,95,alta,ALTA,false
44373,557,AR-20C,"Bolsa con 144 armellas cerradas de 20 x 70, FIERO",FIERO,AR-20C,true,"Armellas cerradas », \Y aY 4 mm 11 mm 45 mm [^^",false,false,0.5185,false,,127,alta,ALTA,false,AR-20C,true,"Armellas cerradas », 20 × 70 4 mm 11 mm 45 mm 144",false,false,0.5349,false,,127,alta,ALTA,false
44374,557,AR-21C,"Bolsa con 144 armellas cerradas de 21 x 80, FIERO",FIERO,AR-21C,true,"Armellas cerradas », \[ bY 4 mm 13 mm 50 mm [^^",false,false,0.5570,false,,177,alta,ALTA,false,AR-21C,true,"Armellas cerradas », 21 × 80 4 mm 13 mm 50 mm 144",false,false,0.5349,false,,177,alta,ALTA,false
44375,557,AR-22C,"Bolsa con 72 armellas cerradas de 22 x 100, FIERO",FIERO,AR-22C,true,"Armellas cerradas », \\ [YY 5 mm 17 mm 60 mm a\",false,false,0.5679,false,,152,alta,ALTA,false,AR-22C,true,"Armellas cerradas », 22 × 100 5 mm 17 mm 60 mm 72",false,false,0.5581,false,,152,alta,ALTA,false
44376,557,AR-23C,"Bolsa con 72 armellas cerradas de 23 x 110, FIERO",FIERO,AR-23C,true,"Armellas cerradas », \] [[Y 5 mm 17.5 mm 65 mm a\",false,false,0.5366,false,,200,alta,ALTA,false,AR-23C,true,"Armellas cerradas », 23 × 110 5 mm 17.5 mm 65 mm 72",false,false,0.5455,false,,200,alta,ALTA,false
44377,557,AR-17A,"Bolsa con 144 armellas abiertas de 17 x 40, FIERO",FIERO,A#-17A,false,"Armellas abiertas », [a ^Y 3 mm 10 mm 32 mm [^^",false,false,0.5250,false,,55,baja,BAJA,true,AR-17A,true,"Armellas abiertas », 17 × 40 3 mm 10 mm 32 mm 144",false,false,0.5349,false,,55,alta,ALTA,false
44378,557,AR-18A,"Bolsa con 144 armellas abiertas de 18 x 50, FIERO",FIERO,AR-18A,true,"Armellas abiertas », [b _Y 3 mm 13 mm 40 mm [^^",false,false,0.5750,false,,77,alta,ALTA,false,AR-18A,true,"Armellas abiertas », 18 × 50 3 mm 13 mm 40 mm 144",false,false,0.5349,false,,77,alta,ALTA,false
44379,557,AR-19A,"Bolsa con 144 armellas abiertas de 19 x 60, FIERO",FIERO,AR-19A,true,"Armellas abiertas », [c `Y 3 mm 13 mm 45 mm [^^",false,false,0.5500,false,,105,alta,ALTA,false,AR-19A,true,"Armellas abiertas », 19 × 60 3 mm 13 mm 45 mm 144",false,false,0.5349,false,,105,alta,ALTA,false
44380,557,AR-20A,"Bolsa con 144 armellas abiertas de 20 x 70, FIERO",FIERO,AR-20A,true,"Armellas abiertas », \Y aY 4 mm 15 mm 45 mm [^^",false,false,0.5185,false,,137,alta,ALTA,false,AR-20A,true,"Armellas abiertas », 20 × 70 4 mm 15 mm 45 mm 144",false,false,0.5349,false,,137,alta,ALTA,false
44381,557,AR-21A,"Bolsa con 144 armellas abiertas de 21 x 80, FIERO",FIERO,AR-21A,true,"Armellas abiertas », \[ bY 4 mm 16 mm 55 mm [^^",false,false,0.5316,false,,180,alta,ALTA,false,AR-21A,true,"Armellas abiertas », 21 × 80 4 mm 16 mm 55 mm 144",false,false,0.5349,false,,180,alta,ALTA,false
44382,557,AR-22A,"Bolsa con 72 armellas abiertas de 22 x 100, FIERO",FIERO,AR-22A,true,"Armellas abiertas », \\ [YY 5 mm 20 mm 70 mm a\",false,false,0.5432,false,,162,alta,ALTA,false,AR-22A,true,"Armellas abiertas », 22 × 100 5 mm 20 mm 70 mm 72",false,false,0.5581,false,,162,alta,ALTA,false
44383,557,AR-23A,"Bolsa con 72 armellas abiertas de 23 x 110, FIERO",FIERO,AR-23A,true,"Armellas abiertas », \] [[Y 5.2 mm 25 mm 80 mm a\",false,false,0.5610,false,,225,alta,ALTA,false,AR-23A,true,"Armellas abiertas », 23 × 110 5.2 mm 25 mm 80 mm 72",false,false,0.5455,false,,225,alta,ALTA,false
44450,549,ME-5N,"Ménsula de acero negra 4 x 5"", FIERO",FIERO,ME-5N,true,"Ménsulas de acero, 0.8 mm , precio por pieza, _""4"" 30 kg",false,false,0.5974,false,,9.50,alta,ALTA,false,ME-5N,true,"Ménsulas de acero, 0.8 mm , precio por pieza, 5""×4"" 30 kg",false,false,0.5823,false,,9.50,alta,ALTA,false
44451,549,ME-6N,"Ménsula de acero negra 5"" x 6"", FIERO",FIERO,ME-6N,true,"Ménsulas de acero, 0.8 mm , precio por pieza, `""_"" 30 kg",false,false,0.5600,false,,11,alta,ALTA,false,ME-6N,true,"Ménsulas de acero, 0.8 mm , precio por pieza, 6""×5"" 30 kg",false,false,0.5823,false,,11,alta,ALTA,false
44453,549,ME-10N,"Ménsula de acero negra 8"" x 10"", FIERO",FIERO,ME-10N,true,"Ménsulas de acero, 1 mm , precio por pieza, 10""b"" 40 kg",false,false,0.5570,false,,22,alta,ALTA,false,ME-10N,true,"Ménsulas de acero, 1 mm , precio por pieza, 10""×8"" 40 kg",false,false,0.5570,false,,22,alta,ALTA,false
44454,549,ME-12N,"Ménsula de acero negra 10 x 12"", FIERO",FIERO,ME-12N,true,"Ménsulas de acero, 1 mm , precio por pieza, 12""10"" 50 kg",false,false,0.5926,false,,26,alta,ALTA,false,ME-12N,true,"Ménsulas de acero, 1 mm , precio por pieza, 12""×10"" 50 kg",false,false,0.5926,false,,26,alta,ALTA,false
44985,557,ALCA-20,"Bolsa con 144 alcayatas roscadas de 16 X 20, FIERO",FIERO,ALCA-20,true,"Alcayatas roscadas Sujetadores tipo mariposa, [` \Y 2.5 mm 12 mm 30 mm [^^",false,false,0.4630,false,,62,alta,ALTA,false,ALCA-20,true,"Alcayatas roscadas Sujetadores tipo mariposa, 16 × 20 2.5 mm 12 mm 30 mm 144",false,false,0.4483,false,,62,alta,ALTA,false
44986,557,ALCA-50,"Bolsa con 144 alcayatas roscadas de 18 X 50, FIERO",FIERO,ALCA-50,true,"Alcayatas roscadas Sujetadores tipo mariposa, [b _Y 3 mm 14 mm 40 mm [^^",false,false,0.4630,false,,109,alta,ALTA,false,ALCA-50,true,"Alcayatas roscadas Sujetadores tipo mariposa, 18 × 50 3 mm 14 mm 40 mm 144",false,false,0.4561,false,,109,alta,ALTA,false
44987,557,ALCA-60,"Bolsa con 144 alcayatas roscadas de 19 X 60, FIERO",FIERO,ALCA-60,true,"Alcayatas roscadas Sujetadores tipo mariposa, [c `Y 3.3 mm 17 mm 50 mm [^^",false,false,0.4545,false,,123,alta,ALTA,false,ALCA-60,true,"Alcayatas roscadas Sujetadores tipo mariposa, 19 × 60 3.3 mm 17 mm 50 mm 144",false,false,0.4483,false,,123,alta,ALTA,false
44988,557,ALCA-70,"Bolsa con 144 alcayatas roscadas de 20 X 70, FIERO",FIERO,ACA-70,false,"Alcayatas roscadas Sujetadores tipo mariposa, \Y aY 3.7 mm 18 mm 55 mm [^^",false,false,0.4324,false,,165,alta,ALTA,false,ALCA-70,true,"Alcayatas roscadas Sujetadores tipo mariposa, 20 × 70 3.7 mm 18 mm 55 mm 144",false,false,0.4483,false,,165,alta,ALTA,false
44989,557,ALCA-80,"Bolsa con 144 alcayatas roscadas de 21 X 80, FIERO",FIERO,ALCA-80,true,"Alcayatas roscadas Sujetadores tipo mariposa, \[ bY 4 mm 19 mm 60 mm [^^",false,false,0.4486,false,,30,alta,ALTA,false,ALCA-80,true,"Alcayatas roscadas Sujetadores tipo mariposa, 21 × 80 4 mm 19 mm 60 mm 144",false,false,0.4561,false,,215,alta,ALTA,false
44990,557,ALCA-90,"Bolsa con 144 alcayatas roscadas de 22 X 90, FIERO",FIERO,,false,Sujetadores tipo mariposa,false,false,0.2647,false,,,baja,BAJA,true,,false,Sujetadores tipo mariposa,false,false,0.2647,false,,,baja,BAJA,true
45958,467,TBA-72,"Portarrollo metálico acabado cromo, FOSET TÚBIG",FOSET TUBIG,%BA-72,false,"Juego de 6 accesorios para baño acabado cromo, 6 24",false,false,0.4583,false,,152,baja,BAJA,true,TBA-72,true,"Juego de 6 accesorios para baño acabado cromo, 6 24",false,false,0.4583,false,,152,alta,ALTA,false
45959,467,TBA-72N,"Portarrollo metálico acabado satín, FOSET TÚBIG",FOSET TUBIG,TBA-72N,true,"Accesorios para baño, acabado níquel satinado, 6 24",false,false,0.4632,false,,170,alta,ALTA,false,TBA-72N,true,"Accesorios para baño, acabado níquel satinado, 6 24",false,false,0.4632,false,,170,alta,ALTA,false
45960,467,TBA-72M,"Portarrollo metálico acabado negro, FOSET TÚBIG",FOSET TUBIG,TBA-72M,true,"Accesorios para baño, acabado negro mate, 6 24",false,false,0.5111,false,,160,alta,ALTA,false,TBA-72M,true,"Accesorios para baño, acabado negro mate, 6 24",false,false,0.5111,false,,160,alta,ALTA,false
